Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e+01,-0.448,-0.464,-12.6,-12.8
-1.9992e+01,-0.44,-0.424,-12.6,-12.4
-1.9985e+01,-0.44,-0.456,-12.6,-12.8
-1.9977e+01,-0.44,-0.424,-12.6,-12.4
-1.9969e+01,-0.432,-0.456,-12.6,-12.8
-1.9962e+01,-0.432,-0.416,-12.6,-12.4
-1.9954e+01,-0.432,-0.448,-12.6,-12.8
-1.9946e+01,-0.432,-0.416,-12.6,-12.4
-1.9939e+01,-0.432,-0.448,-12.6,-12.8
-1.9931e+01,-0.424,-0.416,-12.6,-12.4
-1.9923e+01,-0.424,-0.44,-12.6,-12.8
-1.9916e+01,-0.424,-0.408,-12.6,-12.4
-1.9908e+01,-0.424,-0.44,-12.6,-12.8
-1.9900e+01,-0.416,-0.408,-12.6,-12.4
-1.9892e+01,-0.416,-0.432,-12.6,-12.8
-1.9885e+01,-0.416,-0.4,-12.6,-12.4
-1.9877e+01,-0.416,-0.432,-12.6,-13
-1.9869e+01,-0.408,-0.4,-12.6,-12.4
-1.9862e+01,-0.408,-0.432,-12.6,-13
-1.9854e+01,-0.408,-0.392,-12.6,-12.4
-1.9846e+01,-0.408,-0.424,-12.6,-13
-1.9839e+01,-0.4,-0.392,-12.6,-12.4
-1.9831e+01,-0.4,-0.424,-12.6,-13
-1.9823e+01,-0.4,-0.392,-12.6,-12.4
-1.9816e+01,-0.4,-0.416,-12.6,-13
-1.9808e+01,-0.4,-0.384,-12.6,-12.4
-1.9800e+01,-0.4,-0.416,-12.6,-13
-1.9793e+01,-0.392,-0.376,-12.8,-12.4
-1.9785e+01,-0.392,-0.408,-12.8,-13
-1.9777e+01,-0.392,-0.376,-12.8,-12.6
-1.9770e+01,-0.392,-0.408,-12.8,-13
-1.9762e+01,-0.392,-0.376,-12.8,-12.6
-1.9754e+01,-0.384,-0.4,-12.8,-13
-1.9747e+01,-0.384,-0.368,-12.8,-12.6
-1.9739e+01,-0.384,-0.4,-12.8,-13
-1.9731e+01,-0.384,-0.368,-12.8,-12.6
-1.9724e+01,-0.384,-0.4,-12.8,-13
-1.9716e+01,-0.384,-0.368,-12.8,-12.6
-1.9708e+01,-0.376,-0.4,-12.8,-13
-1.9700e+01,-0.376,-0.36,-12.8,-12.6
-1.9693e+01,-0.376,-0.392,-12.8,-13
-1.9685e+01,-0.376,-0.36,-12.8,-12.6
-1.9677e+01,-0.376,-0.392,-12.8,-13
-1.9670e+01,-0.368,-0.36,-12.8,-12.6
-1.9662e+01,-0.368,-0.384,-12.8,-13
-1.9654e+01,-0.368,-0.352,-12.8,-12.6
-1.9647e+01,-0.368,-0.384,-12.8,-13
-1.9639e+01,-0.368,-0.352,-12.8,-12.6
-1.9631e+01,-0.368,-0.384,-12.8,-13
-1.9624e+01,-0.368,-0.352,-12.8,-12.6
-1.9616e+01,-0.368,-0.384,-12.8,-13
-1.9608e+01,-0.36,-0.344,-12.8,-12.6
-1.9601e+01,-0.36,-0.376,-12.8,-13
-1.9593e+01,-0.36,-0.344,-12.8,-12.6
-1.9585e+01,-0.36,-0.376,-12.8,-13
-1.9578e+01,-0.36,-0.344,-12.8,-12.6
-1.9570e+01,-0.36,-0.376,-12.8,-13
-1.9562e+01,-0.36,-0.336,-12.8,-12.6
-1.9555e+01,-0.352,-0.376,-12.8,-13
-1.9547e+01,-0.352,-0.336,-12.8,-12.6
-1.9539e+01,-0.352,-0.368,-12.8,-13.2
-1.9531e+01,-0.352,-0.336,-12.8,-12.6
-1.9524e+01,-0.352,-0.368,-12.8,-13
-1.9516e+01,-0.352,-0.336,-12.8,-12.6
-1.9508e+01,-0.352,-0.368,-12.8,-13
-1.9501e+01,-0.344,-0.336,-12.8,-12.6
-1.9493e+01,-0.344,-0.368,-12.8,-13.2
-1.9485e+01,-0.344,-0.328,-12.8,-12.6
-1.9478e+01,-0.344,-0.36,-12.8,-13.2
-1.9470e+01,-0.344,-0.328,-12.8,-12.6
-1.9462e+01,-0.344,-0.36,-12.8,-13.2
-1.9455e+01,-0.344,-0.328,-13,-12.6
-1.9447e+01,-0.344,-0.36,-13,-13.2
-1.9439e+01,-0.344,-0.328,-13,-12.6
-1.9432e+01,-0.336,-0.36,-13,-13.2
-1.9424e+01,-0.336,-0.32,-13,-12.6
-1.9416e+01,-0.336,-0.36,-13,-13.2
-1.9409e+01,-0.336,-0.32,-13,-12.6
-1.9401e+01,-0.336,-0.352,-13,-13.2
-1.9393e+01,-0.336,-0.32,-13,-12.8
-1.9386e+01,-0.336,-0.352,-13,-13.2
-1.9378e+01,-0.336,-0.32,-13,-12.8
-1.9370e+01,-0.336,-0.352,-13,-13.2
-1.9363e+01,-0.328,-0.32,-13,-12.6
-1.9355e+01,-0.328,-0.352,-13,-13.2
-1.9347e+01,-0.328,-0.312,-13,-12.8
-1.9339e+01,-0.328,-0.352,-13,-13.2
-1.9332e+01,-0.328,-0.32,-13,-12.8
-1.9324e+01,-0.328,-0.344,-13,-13.2
-1.9316e+01,-0.328,-0.312,-13,-12.8
-1.9309e+01,-0.328,-0.344,-13,-13.2
-1.9301e+01,-0.328,-0.312,-13,-12.8
-1.9293e+01,-0.328,-0.344,-13,-13.2
-1.9286e+01,-0.328,-0.312,-13,-12.8
-1.9278e+01,-0.328,-0.336,-13,-13.2
-1.9270e+01,-0.32,-0.304,-13,-12.8
-1.9263e+01,-0.32,-0.344,-13,-13.2
-1.9255e+01,-0.32,-0.304,-13,-12.8
-1.9247e+01,-0.32,-0.336,-13,-13.2
-1.9240e+01,-0.32,-0.304,-13,-12.8
-1.9232e+01,-0.32,-0.336,-13,-13.2
-1.9224e+01,-0.32,-0.304,-13,-12.8
-1.9217e+01,-0.32,-0.336,-13,-13.2
-1.9209e+01,-0.32,-0.304,-13,-12.8
-1.9201e+01,-0.32,-0.336,-13,-13.2
-1.9194e+01,-0.32,-0.304,-13,-12.8
-1.9186e+01,-0.32,-0.336,-13,-13.2
-1.9178e+01,-0.32,-0.304,-13,-12.8
